chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
solana,CxCTVjvgK3bWcgavMKo8PushR8ycw1atrWiSTruZrdtT,1,$ANSEM,11,⭐,1
solana,DB2RUR2AQ4wLWDJmShJDqUSHwfQi59p63n7aWAs7w8LF,1,$FARTCOIN,8,⭐,1
solana,DDV38CR14kXmjpedoxvvVoWHtX1c2qtacB6J2tWr6DAw,1,$STONK,2,⭐,1
solana,DKgvpfttzmJqZXdavDwTxwSVkajibjzJnN2FA99dyciK,1,$MELANIA,9,⭐,1
solana,DcgVuxrYHCZQUtLgYSddqL12FKYa2qnWcGGyb1H79thc,1,$POPCAT,10,⭐,1
solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1,$BONK,6,⭐,1
solana,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,1,$USELESS,1,⭐,1
solana,E9cRjDCbScXtmGVdxnzkNntFJo74EXGvgy35kgTsQ7Te,1,$MOODENG,14,⭐,1
solana,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,1,$STONK,2,⭐,1
solana,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,1,$MOODENG,14,⭐,1
solana,EEbBntgNWqtMkk2BiZRtWLVqnMD6YuAktzsZwSCNgmwS,1,$PNUT,13,⭐,1
solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,1,$WIF,7,⭐,1
solana,ErwEwyXn4GdQ2UpCVYdNJQFqBVTpdYWGdeM9iV8kUJvC,1,$ZCAT,3,⭐,1
solana,Eswaek4iZKHaVuS2GyQ96DScmfcf9eHLxdVNNyHDtoFk,1,$PNUT,13,⭐,1
solana,Et6DgJN3jr1QzbujE3PyTt4aaTfnHKuUbf7aeDvhFbNu,1,$USELESS,1,⭐,1
solana,F6bswaiRHBvtet61ggiSjiQYiefiazg5WWKEcehyz5mr,1,$TROLL,12,⭐,1
solana,FRJB1ZuDJ1RtPGs5gWSxE87kKV53sKEdGfgTReVzcSoH,1,$ZCAT,3,⭐,1
solana,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,1,$MELANIA,9,⭐,1
solana,FbkrBxYpetgbigHg3xH25bmGSCctDCQ2vvSVWie2WmYH,1,$POPCAT,10,⭐,1
solana,FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,1,$PENGU,5,⭐,1
solana,FnWM96SEJMUByem6VF8dxi3VcuLeByNTqgfCVD7etbA4,1,$TROLL,12,⭐,1
solana,G3cbP3Rujv5WULfAbFaidjJj5NDPrrE4fUBPoqeur7Fb,1,$BONK,6,⭐,1
solana,G5nxEXuFMfV74DSnsrSatqCW32F34XUnBeq3PfDS7w5E,1,$MELANIA,9,⭐,1
solana,GCrxYNvZXhY26QtxCryGoH8nfJaiE7qGGpvh61FAui8J,1,$TRUMP,4,⭐,1
solana,GdqZXvnfRJAhBm5oXjteJQRVHAFnJqM39KDoGv3EuWui,1,$POPCAT,10,⭐,1
solana,GfLbFsuFkgJo1s6Xu8gW2WnTJ674JghFTJiH7QomeDFz,1,$PENGU,5,⭐,1
solana,GjRacG5qhTwQfUd5r8qAYdiUEVpArJt1T3VcYJh9SWR4,1,$WIF,7,⭐,1
solana,GkPtg9Lt38syNpdBGsNJu4YMkLi5wFXq3PM8PQhxT8ry,1,$USELESS,1,⭐,1
solana,GkdYWRjFzZW3oxbRaPJ43C5385E4GtfgW3vwfK2ZAtac,1,$ANSEM,11,⭐,1
solana,GmM5UFm8xu6TnZD7avwYcQ1zq25hD5yvHfYyAksHu9vB,1,$PNUT,13,⭐,1
solana,GpNbukV5nggkJfsEEbKrJaZkdgYcNWCAaD91Mi4MmGQi,1,$MOODENG,14,⭐,1
solana,GybhvUZzTq4qYBc292dz4HE4oQPZJGC9xGJdEH9uYeHK,1,$TRUMP,4,⭐,1
solana,HRAgtMD7JLBipYzunZFUNNSGSXs81CfcrJ9bet47Rqpv,1,$STONK,2,⭐,1
